timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2019-09-08 16:00:00,10000.0,10357.53,10000.0,10340.12,471.661,2019-09-08 19:59:59.999,4879792.35634,564,0.001,0.0001,0.0
2019-09-08 20:00:00,10340.12,10412.65,10324.77,10391.63,2624.63,2019-09-08 23:59:59.999,27216488.09363,3190,0.038,393.35617,0.0
2019-09-09 00:00:00,10316.62,10316.68,10267.37,10297.89,779.449,2019-09-09 03:59:59.999,8030850.10361,901,0.0,0.0,0.0
2019-09-09 04:00:00,10297.89,10316.34,10092.71,10149.47,2664.789,2019-09-09 07:59:59.999,27367282.58431,3119,0.001,10.30921,0.0
2019-09-09 08:00:00,10149.47,10475.54,10077.22,10414.6,2466.485,2019-09-09 11:59:59.999,25213737.33169,2424,280.132,2915767.40724,0.0
2019-09-09 12:00:00,10411.7,10411.7,10302.69,10314.26,3386.015,2019-09-09 15:59:59.999,35043489.79263,1738,1754.471,18158454.28236,0.0
2019-09-09 16:00:00,10314.26,10333.55,10183.31,10308.87,3915.329,2019-09-09 19:59:59.999,40190487.45874,1917,2254.79,23146750.00995,0.0
2019-09-09 20:00:00,10307.8,10420.65,10228.28,10307.0,1612.306,2019-09-09 23:59:59.999,16601362.30055,1197,1163.057,11976413.21315,0.0
2019-09-10 00:00:00,10307.0,10382.97,10266.61,10307.25,1547.455,2019-09-10 03:59:59.999,15983811.89959,1752,1300.905,13435749.74522,0.0
2019-09-10 04:00:00,10309.17,10329.24,10226.81,10272.46,1706.083,2019-09-10 07:59:59.999,17540641.00176,1721,1597.677,16427196.98788,0.0
2019-09-10 08:00:00,10271.93,10290.01,10206.87,10254.56,1409.001,2019-09-10 11:59:59.999,14445455.44815,1321,1238.489,12697733.9241,0.0
2019-09-10 12:00:00,10252.7,10270.58,10167.91,10179.1,1529.81,2019-09-10 15:59:59.999,15638144.3414,1880,789.738,8076091.04754,0.0
2019-09-10 16:00:00,10172.13,10237.41,9940.87,10026.56,1413.946,2019-09-10 19:59:59.999,14376866.27488,1649,824.835,8402203.09881,0.0
2019-09-10 20:00:00,10021.49,10127.22,9991.73,10102.02,1462.66,2019-09-10 23:59:59.999,14732726.20892,1766,643.818,6487382.14752,0.0
2019-09-11 00:00:00,10094.27,10293.11,10051.0,10093.88,1377.981,2019-09-11 03:59:59.999,13945812.34089,1601,813.921,8241336.64843,0.0
